Index of Economic Freedom -- Explore the Data
Source: The Heritage Foundation
http://www.heritage.org/index

Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Saint Vincent and the Grenadines,2016,68.8,70,67,N/A,73.8,69.7,N/A,77.6,74.5,85.3,65.4,65,40
Saint Vincent and the Grenadines,2015,68,70,62,N/A,73.3,75.3,N/A,70.8,78.2,82.3,68.4,60,40
Saint Vincent and the Grenadines,2014,67,70,61.1,N/A,73.7,72.4,N/A,76.3,78.7,79.8,67.6,50,40
Suriname,2023,46.1,41.9,46.2,38.6,70.8,61.4,0,52.8,64.4,46,60.6,40,30
Suriname,2022,48.1,51.2,37.6,45.8,70.2,66.6,0,52.7,64.2,58.4,60.6,40,30
Suriname,2021,46.4,45.5,38.5,15.4,70,68.2,7.8,45.8,61.9,73.7,60.2,40,30
Suriname,2020,49.5,45.6,36.9,19.5,70.5,74.8,10.3,48.2,71.9,76.1,69.8,40,30
Suriname,2019,48.1,49.1,35.5,22.2,70.9,77.2,9.6,48.3,73.5,56,64.6,40,30
Suriname,2018,48.1,39.7,39.9,21.4,71.4,76.4,11.7,48.3,73.5,50.5,74.8,40,30
Suriname,2017,48,45.1,31.7,15.4,70.1,69.6,16.2,48.6,76.1,75.1,68.4,30,30
Suriname,2016,53.8,30,36,N/A,69.4,70.3,N/A,48.8,76.3,78.7,68.4,30,30
Suriname,2015,54.2,35,36,N/A,69.3,73.8,N/A,42.2,81.9,77.2,66.2,30,30
Suriname,2014,54.2,40,32.9,N/A,69,78.3,N/A,41.8,81.8,71.8,66.2,30,30
The Bahamas,2023,62.6,60.5,78.3,65.7,96.5,79.3,0,67,68.6,75.7,49.6,50,60
The Bahamas,2022,68.7,61.1,64.3,78.8,96.5,85.8,67.3,63.3,69.3,79.2,49,50,60
The Bahamas,2021,64.6,48.1,47.5,45.7,97.1,87.6,72.7,70.4,70,77,49,50,60
The Bahamas,2020,64.5,54.9,46,46.4,96.8,87.4,69.2,69,70,76.3,47.8,50,60
The Bahamas,2019,62.9,42.2,43.7,46.9,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50,60
The Bahamas,2018,63.3,46.5,50.9,53.5,96.5,82.9,59,68.3,64.6,79.2,52.7,45,60
The Bahamas,2017,61.1,45.3,38.2,48.7,97.1,83.8,42.3,68.5,71.5,77,50.6,50,60
The Bahamas,2016,70.9,70,71,N/A,97.9,84.3,N/A,70.7,72.8,78.5,64,40,60
The Bahamas,2015,68.7,70,71,N/A,97.8,83.2,N/A,68.9,75.3,78.8,52.2,30,60
The Bahamas,2014,69.8,70,66.6,N/A,97.3,84.1,N/A,70.7,81.5,75.1,52.2,30,70
Trinidad and Tobago,2023,59.5,58.1,59.9,45.2,80.3,68.5,12.7,64.5,64.8,83,66.9,60,50
Trinidad and Tobago,2022,58.8,58.8,44.2,59.3,79.1,69,12.9,60.9,57.4,84.6,68.8,60,50
Trinidad and Tobago,2021,59,52.4,36.4,46.9,79.5,70.9,15.8,66.5,76.8,83.4,68.8,60,50
Trinidad and Tobago,2020,58.3,56.6,37.4,42.1,82.6,66.5,15.9,67.3,76,77.4,67.8,60,50
Trinidad and Tobago,2019,57,52.3,32.9,40.6,82.3,61.9,16.6,67.8,75.6,75.1,68.4,60,50
Trinidad and Tobago,2018,57.7,54.9,33.1,49.8,83.5,54.4,12.6,68.3,74.5,77.4,73.5,60,50
Trinidad and Tobago,2017,61.2,54.7,36.8,48.7,81.4,57.7,51.8,67.7,71.4,75.9,78.6,60,50
Trinidad and Tobago,2016,62.9,50,38,N/A,79.4,62.3,N/A,69.5,72.8,68.5,78.6,60,50
Trinidad and Tobago,2015,64.1,50,38,N/A,79,69.3,N/A,65.3,76.6,74.3,78.6,60,50
Trinidad and Tobago,2014,62.7,50,34,N/A,84.8,62.5,N/A,59.4,76.4,71.7,78.6,60,50
United States,2023,70.6,94.7,76.1,73.4,75.4,49.3,0,83.8,76.3,78,75.4,85,80
United States,2022,72.1,95.7,75.7,77.9,75.9,54.5,0,87.5,75.8,82.3,75.2,85,80
United States,2021,74.8,79.7,76.8,72.4,76,62.2,34.9,82.5,87.1,81.1,80.4,85,80
United States,2020,76.6,81.8,77.2,83.7,74.6,56.5,54.3,83.3,87.9,75.5,79.8,85,80
United States,2019,76.8,79.3,77.4,78.6,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85,80
United States,2018,75.7,79.3,71.9,76.9,65.1,56.5,54.8,82.7,91.4,78.6,86.7,85,80
United States,2017,75.1,81.3,78.1,75.1,65.3,55.9,53.3,84.4,91,80.1,87.1,80,70
United States,2016,75.4,80,74,N/A,65.6,54.7,N/A,84.7,91.4,77,87,70,70
United States,2015,76.2,80,73,N/A,66.2,51.8,N/A,88.8,98.5,76.6,87,70,70
United States,2014,75.5,80,72,N/A,65.8,48.1,N/A,89.2,97.2,75.4,86.8,70,70
Uruguay,2023,70.2,84.3,80.6,77.3,73.7,70.1,73.3,80.1,60.8,71.8,70.8,70,30
Uruguay,2022,70,84,75.2,80.4,72.4,70.2,75.2,75.7,60.3,70.9,70.4,75,30
Uruguay,2021,69.3,68.1,75.7,66.8,72.6,66.9,80.5,72.3,70.5,72.5,70.8,85,30
Uruguay,2020,69.1,72,73.5,59.8,75.2,66.5,72.3,73.6,71,72.7,77.4,85,30
Uruguay,2019,68.6,68.3,69.2,58.9,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85,30
Uruguay,2018,69.2,69.3,71.6,67,78,68.6,71.1,74.4,64.4,70.7,80.4,85,30
Uruguay,2017,69.7,70.2,70.3,66.8,77.5,69.4,77.2,74.8,62.9,71.3,80.6,85,30
Uruguay,2016,68.8,70,73,N/A,77.2,67.6,N/A,75.3,62.5,71.3,80.6,80,30
Uruguay,2015,68.6,70,73,N/A,77.1,65.1,N/A,72.6,64.3,71.6,81.8,80,30
Uruguay,2014,69.3,70,70.6,N/A,77.4,68,N/A,74.5,68.1,72.1,82.5,80,30
Venezuela,2023,25.8,0,3.4,6.5,74.8,95,12,30.8,34.3,0,42.3,0,10
Venezuela,2022,24.8,0.2,7.1,4.6,74.1,78.3,0,30.8,37.6,0,54.8,0,10
Venezuela,2021,24.7,7.5,15.1,15.4,71.1,61.5,0,33.4,27.5,0,54.8,0,10
Venezuela,2020,25.2,10.1,14.6,12.6,72.8,66.3,0,30.8,27.7,0,58,0,10
Venezuela,2019,25.9,7.6,7.9,13.1,74.7,58.1,17.6,33.9,28,0,60,0,10
Venezuela,2018,25.2,5.2,7.5,13.8,72.5,57.3,18.4,35.4,24.2,0,58.7,0,10
Venezuela,2017,27,6.8,11.6,10.3,72.5,51.5,15.2,39.7,28.5,16.8,60.7,0,10
Venezuela,2016,33.7,5,19,N/A,74.9,56.7,N/A,45.3,29.5,33.8,63.2,0,10
Venezuela,2015,34.3,5,20,N/A,75,52,N/A,41.6,24.2,42.8,62.8,0,20
Venezuela,2014,36.3,5,16.5,N/A,75.3,51.8,N/A,43.4,33.7,49.7,62.7,5,20
